code,hours_worked,hours_workedValue
E06000001,15less,3441
E06000001,16_30,8521
E06000001,31_48,22207
E06000001,49plus,3580
E06000002,15less,5683
E06000002,16_30,13341
E06000002,31_48,32556
E06000002,49plus,4854
E06000003,15less,5232
E06000003,16_30,12768
E06000003,31_48,31940
E06000003,49plus,5681
E06000004,15less,7625
E06000004,16_30,18060
E06000004,31_48,52004
E06000004,49plus,8754
E06000005,15less,4185
E06000005,16_30,9823
E06000005,31_48,30500
E06000005,49plus,4788
E06000006,15less,4613
E06000006,16_30,11055
E06000006,31_48,37863
E06000006,49plus,5175
E06000007,15less,9162
E06000007,16_30,18826
E06000007,31_48,65546
E06000007,49plus,9657
E06000008,15less,5863
E06000008,16_30,14711
E06000008,31_48,38715
E06000008,49plus,4268
E06000009,15less,6223
E06000009,16_30,13422
E06000009,31_48,34638
E06000009,49plus,5079
E06000010,15less,9459
E06000010,16_30,25233
E06000010,31_48,73103
E06000010,49plus,9994
E06000011,15less,15938
E06000011,16_30,32189
E06000011,31_48,87911
E06000011,49plus,20082
E06000012,15less,6588
E06000012,16_30,15233
E06000012,31_48,38913
E06000012,49plus,8115
E06000013,15less,7082
E06000013,16_30,15120
E06000013,31_48,45246
E06000013,49plus,8775
E06000014,15less,12037
E06000014,16_30,20634
E06000014,31_48,54704
E06000014,49plus,8823
E06000015,15less,10896
E06000015,16_30,24135
E06000015,31_48,72096
E06000015,49plus,9074
E06000016,15less,16608
E06000016,16_30,36736
E06000016,31_48,92168
E06000016,49plus,9422
E06000017,15less,2177
E06000017,16_30,3548
E06000017,31_48,10061
E06000017,49plus,2997
E06000018,15less,15071
E06000018,16_30,27835
E06000018,31_48,76165
E06000018,49plus,9796
E06000019,15less,9839
E06000019,16_30,18783
E06000019,31_48,47742
E06000019,49plus,12147
E06000020,15less,7164
E06000020,16_30,15467
E06000020,31_48,54198
E06000020,49plus,8668
E06000021,15less,9224
E06000021,16_30,22985
E06000021,31_48,70790
E06000021,49plus,9581
E06000022,15less,12067
E06000022,16_30,18817
E06000022,31_48,49585
E06000022,49plus,9343
E06000023,15less,24727
E06000023,16_30,46279
E06000023,31_48,147056
E06000023,49plus,20448
E06000024,15less,11232
E06000024,16_30,21733
E06000024,31_48,58675
E06000024,49plus,11062
E06000025,15less,14192
E06000025,16_30,29592
E06000025,31_48,90398
E06000025,49plus,13430
E06000026,15less,11999
E06000026,16_30,26127
E06000026,31_48,71595
E06000026,49plus,11297
E06000027,15less,6943
E06000027,16_30,14221
E06000027,31_48,32078
E06000027,49plus,5693
E06000030,15less,9588
E06000030,16_30,20643
E06000030,31_48,77579
E06000030,49plus,10056
E06000031,15less,8768
E06000031,16_30,19404
E06000031,31_48,62866
E06000031,49plus,9930
E06000032,15less,10454
E06000032,16_30,20566
E06000032,31_48,59062
E06000032,49plus,8639
E06000033,15less,9518
E06000033,16_30,16235
E06000033,31_48,48451
E06000033,49plus,9055
E06000034,15less,7878
E06000034,16_30,15103
E06000034,31_48,53072
E06000034,49plus,9895
E06000035,15less,12782
E06000035,16_30,24090
E06000035,31_48,79935
E06000035,49plus,15802
E06000036,15less,5918
E06000036,16_30,10654
E06000036,31_48,42029
E06000036,49plus,7796
E06000037,15less,8512
E06000037,16_30,13838
E06000037,31_48,49764
E06000037,49plus,10193
E06000038,15less,8681
E06000038,16_30,13984
E06000038,31_48,57921
E06000038,49plus,8277
E06000039,15less,7492
E06000039,16_30,13480
E06000039,31_48,46355
E06000039,49plus,6373
E06000040,15less,8051
E06000040,16_30,12021
E06000040,31_48,44700
E06000040,49plus,11530
E06000041,15less,9149
E06000041,16_30,14047
E06000041,31_48,55608
E06000041,49plus,10663
E06000042,15less,12397
E06000042,16_30,24189
E06000042,31_48,92935
E06000042,49plus,13857
E06000043,15less,18422
E06000043,16_30,28832
E06000043,31_48,79077
E06000043,49plus,12960
E06000044,15less,10778
E06000044,16_30,19757
E06000044,31_48,57812
E06000044,49plus,9440
E06000045,15less,12460
E06000045,16_30,23005
E06000045,31_48,71148
E06000045,49plus,11615
E06000046,15less,7253
E06000046,16_30,14579
E06000046,31_48,30756
E06000046,49plus,5322
E06000047,15less,19900
E06000047,16_30,43468
E06000047,31_48,137147
E06000047,49plus,21703
E06000049,15less,19795
E06000049,16_30,35764
E06000049,31_48,114307
E06000049,49plus,22621
E06000050,15less,17164
E06000050,16_30,32873
E06000050,31_48,101055
E06000050,49plus,17996
E06000051,15less,16243
E06000051,16_30,31647
E06000051,31_48,83886
E06000051,49plus,20647
E06000052,15less,31272
E06000052,16_30,59540
E06000052,31_48,134022
E06000052,49plus,29413
E06000053,15less,134
E06000053,16_30,212
E06000053,31_48,597
E06000053,49plus,171
E06000054,15less,26840
E06000054,16_30,47964
E06000054,31_48,146830
E06000054,49plus,30711
E06000055,15less,8812
E06000055,16_30,16011
E06000055,31_48,55968
E06000055,49plus,10074
E06000056,15less,14636
E06000056,16_30,25790
E06000056,31_48,92934
E06000056,49plus,17718
E06000057,15less,14253
E06000057,16_30,30161
E06000057,31_48,80360
E06000057,49plus,16003
E06000058,15less,21877
E06000058,16_30,38598
E06000058,31_48,107607
E06000058,49plus,17950
E06000059,15less,21420
E06000059,16_30,36955
E06000059,31_48,89075
E06000059,49plus,20327
E06000060,15less,30598
E06000060,16_30,47499
E06000060,31_48,157932
E06000060,49plus,37207
E06000061,15less,15223
E06000061,16_30,31446
E06000061,31_48,111942
E06000061,49plus,20244
E06000062,15less,19541
E06000062,16_30,37514
E06000062,31_48,134486
E06000062,49plus,24454
E07000008,15less,7812
E07000008,16_30,10913
E07000008,31_48,43695
E07000008,49plus,8179
E07000009,15less,4439
E07000009,16_30,8120
E07000009,31_48,26448
E07000009,49plus,5688
E07000010,15less,4219
E07000010,16_30,8570
E07000010,31_48,28284
E07000010,49plus,6035
E07000011,15less,8458
E07000011,16_30,15714
E07000011,31_48,56584
E07000011,49plus,10635
E07000012,15less,8202
E07000012,16_30,14550
E07000012,31_48,49901
E07000012,49plus,9614
E07000026,15less,4483
E07000026,16_30,9575
E07000026,31_48,25309
E07000026,49plus,4868
E07000027,15less,2666
E07000027,16_30,6593
E07000027,31_48,19866
E07000027,49plus,2058
E07000028,15less,5211
E07000028,16_30,11750
E07000028,31_48,29990
E07000028,49plus,5999
E07000029,15less,2530
E07000029,16_30,5873
E07000029,31_48,19710
E07000029,49plus,2457
E07000030,15less,3418
E07000030,16_30,5666
E07000030,31_48,13443
E07000030,49plus,4808
E07000031,15less,6634
E07000031,16_30,10803
E07000031,31_48,26675
E07000031,49plus,6025
E07000032,15less,5916
E07000032,16_30,11784
E07000032,31_48,36026
E07000032,49plus,6445
E07000033,15less,3137
E07000033,16_30,7497
E07000033,31_48,23380
E07000033,49plus,4086
E07000034,15less,4599
E07000034,16_30,10380
E07000034,31_48,28101
E07000034,49plus,4452
E07000035,15less,4380
E07000035,16_30,7204
E07000035,31_48,16633
E07000035,49plus,5011
E07000036,15less,5066
E07000036,16_30,10666
E07000036,31_48,34065
E07000036,49plus,5170
E07000037,15less,4701
E07000037,16_30,9280
E07000037,31_48,25786
E07000037,49plus,4847
E07000038,15less,4598
E07000038,16_30,10064
E07000038,31_48,26835
E07000038,49plus,5066
E07000039,15less,4638
E07000039,16_30,9680
E07000039,31_48,33110
E07000039,49plus,6478
E07000040,15less,8359
E07000040,16_30,15195
E07000040,31_48,35143
E07000040,49plus,8030
E07000041,15less,7394
E07000041,16_30,12409
E07000041,31_48,34634
E07000041,49plus,5263
E07000042,15less,4586
E07000042,16_30,8779
E07000042,31_48,21569
E07000042,49plus,5348
E07000043,15less,5651
E07000043,16_30,10598
E07000043,31_48,23636
E07000043,49plus,5278
E07000044,15less,5884
E07000044,16_30,9444
E07000044,31_48,20077
E07000044,49plus,5180
E07000045,15less,7295
E07000045,16_30,14271
E07000045,31_48,33592
E07000045,49plus,6979
E07000046,15less,3842
E07000046,16_30,7334
E07000046,31_48,14726
E07000046,49plus,4151
E07000047,15less,3397
E07000047,16_30,5685
E07000047,31_48,12630
E07000047,49plus,3672
E07000061,15less,5204
E07000061,16_30,9699
E07000061,31_48,24787
E07000061,49plus,4141
E07000062,15less,4740
E07000062,16_30,9470
E07000062,31_48,22762
E07000062,49plus,3926
E07000063,15less,5929
E07000063,16_30,9920
E07000063,31_48,23936
E07000063,49plus,4722
E07000064,15less,5203
E07000064,16_30,8422
E07000064,31_48,19656
E07000064,49plus,4653
E07000065,15less,10015
E07000065,16_30,15432
E07000065,31_48,39472
E07000065,49plus,9624
E07000066,15less,9070
E07000066,16_30,15966
E07000066,31_48,53719
E07000066,49plus,10256
E07000067,15less,8594
E07000067,16_30,14371
E07000067,31_48,43700
E07000067,49plus,9619
E07000068,15less,4223
E07000068,16_30,6165
E07000068,31_48,21744
E07000068,49plus,5771
E07000069,15less,4575
E07000069,16_30,8095
E07000069,31_48,23564
E07000069,49plus,4772
E07000070,15less,9697
E07000070,16_30,16139
E07000070,31_48,52813
E07000070,49plus,11213
E07000071,15less,10351
E07000071,16_30,18113
E07000071,31_48,52560
E07000071,49plus,10992
E07000072,15less,7815
E07000072,16_30,11819
E07000072,31_48,37039
E07000072,49plus,9123
E07000073,15less,4390
E07000073,16_30,8493
E07000073,31_48,28620
E07000073,49plus,4478
E07000074,15less,4057
E07000074,16_30,6042
E07000074,31_48,16921
E07000074,49plus,4236
E07000075,15less,4810
E07000075,16_30,7651
E07000075,31_48,23225
E07000075,49plus,4972
E07000076,15less,6940
E07000076,16_30,13218
E07000076,31_48,31130
E07000076,49plus,6993
E07000077,15less,5694
E07000077,16_30,8404
E07000077,31_48,25062
E07000077,49plus,6581
E07000078,15less,6458
E07000078,16_30,11696
E07000078,31_48,35580
E07000078,49plus,5423
E07000079,15less,5824
E07000079,16_30,8364
E07000079,31_48,23598
E07000079,49plus,6292
E07000080,15less,4698
E07000080,16_30,8248
E07000080,31_48,22316
E07000080,49plus,4728
E07000081,15less,5956
E07000081,16_30,13558
E07000081,31_48,40563
E07000081,49plus,5544
E07000082,15less,7237
E07000082,16_30,12590
E07000082,31_48,33708
E07000082,49plus,6384
E07000083,15less,4548
E07000083,16_30,9244
E07000083,31_48,27898
E07000083,49plus,4832
E07000084,15less,8743
E07000084,16_30,15390
E07000084,31_48,62171
E07000084,49plus,10669
E07000085,15less,7267
E07000085,16_30,11612
E07000085,31_48,34697
E07000085,49plus,8156
E07000086,15less,6892
E07000086,16_30,13597
E07000086,31_48,41562
E07000086,49plus,7466
E07000087,15less,5688
E07000087,16_30,10652
E07000087,31_48,33204
E07000087,49plus,6087
E07000088,15less,3585
E07000088,16_30,7635
E07000088,31_48,23135
E07000088,49plus,4131
E07000089,15less,5296
E07000089,16_30,8436
E07000089,31_48,29759
E07000089,49plus,6954
E07000090,15less,5916
E07000090,16_30,11992
E07000090,31_48,32705
E07000090,49plus,5755
E07000091,15less,10149
E07000091,16_30,16599
E07000091,31_48,42621
E07000091,49plus,9333
E07000092,15less,4560
E07000092,16_30,8689
E07000092,31_48,34125
E07000092,49plus,5641
E07000093,15less,6591
E07000093,16_30,11983
E07000093,31_48,39188
E07000093,49plus,8102
E07000094,15less,7594
E07000094,16_30,11335
E07000094,31_48,32954
E07000094,49plus,8690
E07000095,15less,5104
E07000095,16_30,9143
E07000095,31_48,28778
E07000095,49plus,5281
E07000096,15less,8384
E07000096,16_30,14010
E07000096,31_48,45046
E07000096,49plus,9759
E07000098,15less,6468
E07000098,16_30,9593
E07000098,31_48,29693
E07000098,49plus,7012
E07000099,15less,6904
E07000099,16_30,11953
E07000099,31_48,40500
E07000099,49plus,7801
E07000102,15less,5174
E07000102,16_30,8308
E07000102,31_48,27041
E07000102,49plus,6425
E07000103,15less,5061
E07000103,16_30,9246
E07000103,31_48,32858
E07000103,49plus,5694
E07000105,15less,6754
E07000105,16_30,11838
E07000105,31_48,36702
E07000105,49plus,8321
E07000106,15less,9225
E07000106,16_30,13838
E07000106,31_48,35357
E07000106,49plus,7744
E07000107,15less,5210
E07000107,16_30,9915
E07000107,31_48,37138
E07000107,49plus,6559
E07000108,15less,5631
E07000108,16_30,10533
E07000108,31_48,28511
E07000108,49plus,6251
E07000109,15less,4871
E07000109,16_30,9436
E07000109,31_48,29262
E07000109,49plus,6192
E07000110,15less,8741
E07000110,16_30,15525
E07000110,31_48,50706
E07000110,49plus,11437
E07000111,15less,6623
E07000111,16_30,10192
E07000111,31_48,31035
E07000111,49plus,8532
E07000112,15less,5399
E07000112,16_30,9761
E07000112,31_48,27109
E07000112,49plus,5549
E07000113,15less,6660
E07000113,16_30,12860
E07000113,31_48,40567
E07000113,49plus,9116
E07000114,15less,6864
E07000114,16_30,13294
E07000114,31_48,32623
E07000114,49plus,6409
E07000115,15less,6872
E07000115,16_30,11657
E07000115,31_48,37086
E07000115,49plus,8811
E07000116,15less,6414
E07000116,16_30,10239
E07000116,31_48,31163
E07000116,49plus,8082
E07000117,15less,3348
E07000117,16_30,8506
E07000117,31_48,25374
E07000117,49plus,2806
E07000118,15less,5123
E07000118,16_30,10621
E07000118,31_48,35318
E07000118,49plus,6182
E07000119,15less,4034
E07000119,16_30,7041
E07000119,31_48,20822
E07000119,49plus,3818
E07000120,15less,2893
E07000120,16_30,7104
E07000120,31_48,22795
E07000120,49plus,2837
E07000121,15less,7586
E07000121,16_30,13750
E07000121,31_48,34451
E07000121,49plus,6613
E07000122,15less,3909
E07000122,16_30,8893
E07000122,31_48,23657
E07000122,49plus,3164
E07000123,15less,6930
E07000123,16_30,14263
E07000123,31_48,40027
E07000123,49plus,5414
E07000124,15less,3132
E07000124,16_30,5548
E07000124,31_48,17587
E07000124,49plus,4118
E07000125,15less,2925
E07000125,16_30,6446
E07000125,31_48,20294
E07000125,49plus,3451
E07000126,15less,4603
E07000126,16_30,10088
E07000126,31_48,34628
E07000126,49plus,5392
E07000127,15less,5810
E07000127,16_30,10517
E07000127,31_48,31281
E07000127,49plus,5938
E07000128,15less,5094
E07000128,16_30,10310
E07000128,31_48,27049
E07000128,49plus,5382
E07000129,15less,4611
E07000129,16_30,9952
E07000129,31_48,31671
E07000129,49plus,5212
E07000130,15less,8944
E07000130,16_30,16641
E07000130,31_48,50718
E07000130,49plus,8496
E07000131,15less,5206
E07000131,16_30,9101
E07000131,31_48,27964
E07000131,49plus,6500
E07000132,15less,5034
E07000132,16_30,10548
E07000132,31_48,34150
E07000132,49plus,6154
E07000133,15less,2750
E07000133,16_30,4973
